theta,aabb_container_w,aabb_card2_x,aabb_overlap,visual_container_w,visual_card2_x,visual_overlap,fixedw_aabb_card2_x,fixedw_aabb_overlap
180,220.000,150.000,0.000,220.000,150.000,0.000,150.000,0.000
182,223.453,153.453,0.000,220.000,150.000,0.000,153.453,0.000
184,226.829,156.829,0.000,220.000,150.000,0.000,156.829,0.000
186,230.124,160.124,0.000,220.000,150.000,0.000,160.124,0.000
188,233.333,163.333,0.000,220.000,150.000,0.000,163.333,0.000
190,236.453,166.453,0.000,220.000,150.000,0.000,166.453,0.000
192,239.480,169.480,0.000,220.000,150.000,0.000,169.480,0.000
194,242.410,172.410,0.000,220.000,150.000,120.497,172.410,0.000
196,245.239,175.239,0.000,220.000,150.000,261.972,175.239,0.000
198,247.965,177.965,0.000,220.000,150.000,398.255,177.965,0.000
200,250.584,180.584,0.000,220.000,150.000,529.179,180.584,0.000
202,253.092,183.092,0.000,220.000,150.000,654.585,183.092,0.000
204,255.486,185.486,0.000,220.000,150.000,774.319,185.486,0.000
206,257.765,187.765,0.000,220.000,150.000,888.239,187.765,0.000
208,259.924,189.924,0.000,220.000,150.000,996.201,189.924,0.000
210,261.962,191.962,0.000,220.000,150.000,1098.077,191.962,0.000
212,263.875,193.875,0.000,220.000,150.000,1193.741,193.875,0.000
214,265.662,195.662,0.000,220.000,150.000,1283.078,195.662,0.000
216,267.320,197.320,0.000,220.000,150.000,1365.977,197.320,0.000
218,268.847,198.847,0.000,220.000,150.000,1442.340,198.847,0.000
220,270.241,200.241,0.000,220.000,150.000,1512.071,200.241,0.000
222,271.502,201.502,0.000,220.000,150.000,1575.089,201.502,0.000
224,272.626,202.626,0.000,220.000,150.000,1631.311,202.626,0.000
226,273.613,203.613,0.000,220.000,150.000,1680.675,203.613,0.000
228,274.462,204.462,0.000,220.000,150.000,1723.117,204.462,0.000
230,275.172,205.172,0.000,220.000,150.000,1758.585,205.172,0.000
232,275.741,205.741,0.000,220.000,150.000,1787.038,205.741,0.000
234,276.169,206.169,0.000,220.000,150.000,1808.441,206.169,0.000
236,276.455,206.455,0.000,220.000,150.000,1822.767,206.455,0.000
238,276.600,206.600,0.000,220.000,150.000,1829.999,206.600,0.000
240,276.603,206.603,0.000,220.000,150.000,1830.127,206.603,0.000
242,276.463,206.463,0.000,220.000,150.000,1821.768,206.463,0.000
244,276.182,206.182,0.000,220.000,150.000,1768.646,206.182,0.000
246,275.759,205.759,0.000,220.000,150.000,1707.237,205.759,0.000
248,275.195,205.195,0.000,220.000,150.000,1638.172,205.195,0.000
250,274.490,204.490,0.000,220.000,150.000,1562.135,204.490,0.000
252,273.647,203.647,0.000,220.000,150.000,1479.867,203.647,0.000
254,272.664,202.664,0.000,220.000,150.000,1392.148,202.664,0.000
256,271.545,201.545,0.000,220.000,150.000,1299.806,201.545,0.000
258,270.289,200.289,0.000,220.000,150.000,1203.705,200.289,0.000
260,268.900,198.900,0.000,220.000,150.000,1104.737,198.900,0.000
262,267.377,197.377,0.000,220.000,150.000,1003.832,197.377,0.000
264,265.724,195.724,0.000,220.000,150.000,901.933,195.724,0.000
266,263.942,193.942,0.000,220.000,150.000,800.009,193.942,0.000
268,262.033,192.033,0.000,220.000,150.000,699.037,192.033,0.000
270,260.000,190.000,0.000,220.000,150.000,600.000,190.000,0.000
272,262.033,192.033,0.000,220.000,150.000,699.036,192.033,0.000
274,263.942,193.942,0.000,220.000,150.000,800.009,193.942,0.000
276,265.724,195.724,0.000,220.000,150.000,901.933,195.724,0.000
278,267.377,197.377,0.000,220.000,150.000,1003.832,197.377,0.000
280,268.900,198.900,0.000,220.000,150.000,1104.737,198.900,0.000
282,270.289,200.289,0.000,220.000,150.000,1203.703,200.289,0.000
284,271.545,201.545,0.000,220.000,150.000,1299.806,201.545,0.000
286,272.664,202.664,0.000,220.000,150.000,1392.149,202.664,0.000
288,273.647,203.647,0.000,220.000,150.000,1479.867,203.647,0.000
290,274.490,204.490,0.000,220.000,150.000,1562.135,204.490,0.000
292,275.195,205.195,0.000,220.000,150.000,1638.170,205.195,0.000
294,275.759,205.759,0.000,220.000,150.000,1707.237,205.759,0.000
296,276.182,206.182,0.000,220.000,150.000,1768.646,206.182,0.000
298,276.463,206.463,0.000,220.000,150.000,1821.768,206.463,0.000
300,276.603,206.603,0.000,220.000,150.000,1830.127,206.603,0.000
302,276.600,206.600,0.000,220.000,150.000,1829.999,206.600,0.000
304,276.455,206.455,0.000,220.000,150.000,1822.767,206.455,0.000
306,276.169,206.169,0.000,220.000,150.000,1808.441,206.169,0.000
308,275.741,205.741,0.000,220.000,150.000,1787.039,205.741,0.000
310,275.172,205.172,0.000,220.000,150.000,1758.585,205.172,0.000
312,274.462,204.462,0.000,220.000,150.000,1723.117,204.462,0.000
314,273.613,203.613,0.000,220.000,150.000,1680.674,203.613,0.000
316,272.626,202.626,0.000,220.000,150.000,1631.311,202.626,0.000
318,271.502,201.502,0.000,220.000,150.000,1575.089,201.502,0.000
320,270.241,200.241,0.000,220.000,150.000,1512.073,200.241,0.000
322,268.847,198.847,0.000,220.000,150.000,1442.340,198.847,0.000
324,267.320,197.320,0.000,220.000,150.000,1365.978,197.320,0.000
326,265.662,195.662,0.000,220.000,150.000,1283.078,195.662,0.000
328,263.875,193.875,0.000,220.000,150.000,1193.741,193.875,0.000
330,261.962,191.962,0.000,220.000,150.000,1098.077,191.962,0.000
332,259.924,189.924,0.000,220.000,150.000,996.201,189.924,0.000
334,257.765,187.765,0.000,220.000,150.000,888.239,187.765,0.000
336,255.486,185.486,0.000,220.000,150.000,774.319,185.486,0.000
338,253.092,183.092,0.000,220.000,150.000,654.584,183.092,0.000
340,250.584,180.584,0.000,220.000,150.000,529.179,180.584,0.000
342,247.965,177.965,0.000,220.000,150.000,398.254,177.965,0.000
344,245.239,175.239,0.000,220.000,150.000,261.972,175.239,0.000
346,242.410,172.410,0.000,220.000,150.000,120.496,172.410,0.000
348,239.480,169.480,0.000,220.000,150.000,0.000,169.480,0.000
350,236.453,166.453,0.000,220.000,150.000,0.000,166.453,0.000
352,233.333,163.333,0.000,220.000,150.000,0.000,163.333,0.000
354,230.124,160.124,0.000,220.000,150.000,0.000,160.124,0.000
356,226.829,156.829,0.000,220.000,150.000,0.000,156.829,0.000
358,223.453,153.453,0.000,220.000,150.000,0.000,153.453,0.000
360,220.000,150.000,0.000,220.000,150.000,0.000,150.000,0.000
